run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	library_layout	library_strategy	library_source	library_selection	read_count	base_count	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	fastq_md5	fastq_ftp	fastq_galaxy	sample_alias	broker_name	sample_title	first_created
SRR5011252	SAMN06010263	SRS1792525	SRX2342135	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	CJ-08Aug16	PAIRED	AMPLICON	METAGENOMIC	PCR	119224	71772848	2016-11-16	2016-11-16	Illumina MiSeq sequencing: Characterization of gut bacterial communities from patients treated with capsule FMT	Capsule Patients	PRJNA311224	CJ-08Aug16	8e32ff8ddc211c66a4b424952810a2c9;00982cc3f6022dd5d834b6a536052a3f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/002/SRR5011252/SRR5011252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/002/SRR5011252/SRR5011252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/002/SRR5011252/SRR5011252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/002/SRR5011252/SRR5011252_2.fastq.gz	CJ_08Aug16		Metagenome or environmental sample from gut metagenome	2016-11-16
SRR5011254	SAMN06010264	SRS1792527	SRX2342137	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	CJ-22Jul16	PAIRED	AMPLICON	METAGENOMIC	PCR	134583	81018966	2016-11-16	2016-11-16	Illumina MiSeq sequencing: Characterization of gut bacterial communities from patients treated with capsule FMT	Capsule Patients	PRJNA311224	CJ-22Jul16	69ecd9581de4e387a7d7ba8bbd64d107;5345852cd17f6dd6697365ad60d842d2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/004/SRR5011254/SRR5011254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/004/SRR5011254/SRR5011254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/004/SRR5011254/SRR5011254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/004/SRR5011254/SRR5011254_2.fastq.gz	CJ_22Jul16		Metagenome or environmental sample from gut metagenome	2016-11-16
SRR5011255	SAMN06010267	SRS1792528	SRX2342138	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	CJ-29Jul16	PAIRED	AMPLICON	METAGENOMIC	PCR	139816	84169232	2016-11-16	2016-11-16	Illumina MiSeq sequencing: Characterization of gut bacterial communities from patients treated with capsule FMT	Capsule Patients	PRJNA311224	CJ-29Jul16	c5659707a0317e1c09ccfe290454eb80;3d67fdb2768336f34827fe95cd07bc4d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/005/SRR5011255/SRR5011255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/005/SRR5011255/SRR5011255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/005/SRR5011255/SRR5011255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/005/SRR5011255/SRR5011255_2.fastq.gz	CJ_29Jul16		Metagenome or environmental sample from gut metagenome	2016-11-16
SRR5011258	SAMN06010269	SRS1792531	SRX2342141	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	MK-28Jul16	PAIRED	AMPLICON	METAGENOMIC	PCR	87932	52935064	2016-11-16	2016-11-16	Illumina MiSeq sequencing: Characterization of gut bacterial communities from patients treated with capsule FMT	Capsule Patients	PRJNA311224	MK-28Jul16	c5eeb6629344ec2672edd0c6f5893a52;72394947c2ceeeac793ac1a0948523a7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/008/SRR5011258/SRR5011258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/008/SRR5011258/SRR5011258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/008/SRR5011258/SRR5011258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/008/SRR5011258/SRR5011258_2.fastq.gz	MK_28Jul16		Metagenome or environmental sample from gut metagenome	2016-11-16
SRR5011259	SAMN06010293	SRS1792532	SRX2342142	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	DK-07Sep16	PAIRED	AMPLICON	METAGENOMIC	PCR	208181	125324962	2016-11-16	2016-11-16	Illumina MiSeq sequencing: Characterization of gut bacterial communities from patients treated with capsule FMT	Capsule Patients	PRJNA311224	DK-07Sep16	deacf050b80bbc75d754ede4880f114a;cf5a202a1fa02750959b1f8205f31235	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/009/SRR5011259/SRR5011259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/009/SRR5011259/SRR5011259_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/009/SRR5011259/SRR5011259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR501/009/SRR5011259/SRR5011259_2.fastq.gz	DK_07Sep16		Metagenome or environmental sample from gut metagenome	2016-11-16
SRR5238655	SAMN06312459	SRS1964493	SRX2545617	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	WQ_15Nov16	PAIRED	AMPLICON	METAGENOMIC	PCR	170256	102494112	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	WQ_15Nov16	e99eab0df782cc7bcde124169348ecba;862462f747b4e8d75fb33e73573398f6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/005/SRR5238655/SRR5238655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/005/SRR5238655/SRR5238655_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/005/SRR5238655/SRR5238655_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/005/SRR5238655/SRR5238655_2.fastq.gz	WQ_15Nov16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238656	SAMN06312458	SRS1964494	SRX2545618	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	BM_05Dec16	PAIRED	AMPLICON	METAGENOMIC	PCR	191562	115320324	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	BM_05Dec16	b334264968de2a6124a7714bfc16936c;d94377c48444022c4e08522cd2b06bdf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238656/SRR5238656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238656/SRR5238656_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238656/SRR5238656_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238656/SRR5238656_2.fastq.gz	BM_05Dec16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238658	SAMN06312456	SRS1964496	SRX2545620	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	BM_21Nov16	PAIRED	AMPLICON	METAGENOMIC	PCR	237053	142705906	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	BM_21Nov16	70ffd5ae3cd1138dcab83f58910af90d;803d398a2ae7fdb5b420706c6321d584	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238658/SRR5238658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238658/SRR5238658_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238658/SRR5238658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238658/SRR5238658_2.fastq.gz	BM_21Nov16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238664	SAMN06312450	SRS1964502	SRX2545626	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	SS_27Nov16	PAIRED	AMPLICON	METAGENOMIC	PCR	160416	96570432	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	SS_27Nov16	0f89626ffdd3bb610e3d7d7fa58e3fe1;861288a1ed96b758049efb0be7ebb92f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238664/SRR5238664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238664/SRR5238664_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238664/SRR5238664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238664/SRR5238664_2.fastq.gz	SS_27Nov16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238666	SAMN06312448	SRS1964504	SRX2545628	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	SS_31Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	124120	74720240	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	SS_31Oct16	c5e4e9265f9759053e48be813be7e6e9;66ef71b1f2c6a9006318d53169bc07f9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238666/SRR5238666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238666/SRR5238666_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238666/SRR5238666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238666/SRR5238666_2.fastq.gz	SS_31Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238667	SAMN06312447	SRS1964505	SRX2545629	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	SS_27Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	169440	102002880	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	SS_27Oct16	1654196cdf905732998cf625e845d1ba;ebbb9747da235132cb064f4bf98f2dbd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/007/SRR5238667/SRR5238667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/007/SRR5238667/SRR5238667_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/007/SRR5238667/SRR5238667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/007/SRR5238667/SRR5238667_2.fastq.gz	SS_27Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238669	SAMN06312445	SRS1964507	SRX2545631	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	JB_24Nov16	PAIRED	AMPLICON	METAGENOMIC	PCR	243602	146648404	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	JB_24Nov16	f1acefbfc13d4985bcb9fab58a8786dc;919273230a0001ab152792c808553dbc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238669/SRR5238669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238669/SRR5238669_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238669/SRR5238669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238669/SRR5238669_2.fastq.gz	JB_24Nov16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238671	SAMN06312443	SRS1964509	SRX2545633	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	JB_25Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	128395	77293790	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	JB_25Oct16	ca07a76ae86a567edd502335d9e82d6e;04d1cd621704804e9c1414793deda39f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238671/SRR5238671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238671/SRR5238671_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238671/SRR5238671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238671/SRR5238671_2.fastq.gz	JB_25Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238673	SAMN06312441	SRS1964511	SRX2545635	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	HZ_11Dec16	PAIRED	AMPLICON	METAGENOMIC	PCR	250691	150915982	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	HZ_11Dec16	fc7bf2c31b6db4fa2a41c7bff72edf21;773fb53ff3e7941f074ecf687fa121da	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238673/SRR5238673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238673/SRR5238673_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238673/SRR5238673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238673/SRR5238673_2.fastq.gz	HZ_11Dec16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238689	SAMN06312425	SRS1964527	SRX2545651	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	BS_26Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	125522	75564244	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	BS_26Oct16	c64fc72d4e75a32f762edfa6dd152461;dfd272518449276a04483d2ebad61d20	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238689/SRR5238689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238689/SRR5238689_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238689/SRR5238689_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238689/SRR5238689_2.fastq.gz	BS_26Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238691	SAMN06312423	SRS1964529	SRX2545653	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	BM_24Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	132993	80061786	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	BM_24Oct16	14f6740a1467249947f03722b0a02fcc;7637a5348406c50b92c2f18cb764f6d1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238691/SRR5238691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238691/SRR5238691_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238691/SRR5238691_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238691/SRR5238691_2.fastq.gz	BM_24Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238694	SAMN06312420	SRS1964532	SRX2545656	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	DS_30Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	179912	108307024	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	DS_30Oct16	e09108842bc23d62992eac0c58ea9a66;6efb1b0d04a0864f03c3dbbec288e33e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238694/SRR5238694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238694/SRR5238694_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238694/SRR5238694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238694/SRR5238694_2.fastq.gz	DS_30Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238699	SAMN06312415	SRS1964537	SRX2545661	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	EJ_02Nov16	PAIRED	AMPLICON	METAGENOMIC	PCR	169790	102213580	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	EJ_02Nov16	de620058adeabcff2407fe5864192164;7d7a93064ce60d77fb495be245708608	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238699/SRR5238699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238699/SRR5238699_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238699/SRR5238699_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/009/SRR5238699/SRR5238699_2.fastq.gz	EJ_02Nov16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238700	SAMN06312414	SRS1964538	SRX2545662	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	EH_26Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	195949	117961298	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	EH_26Oct16	8d7ba01aa964ae657951623298c253ef;d885d340dbce267abe25a7d4f9abe944	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/000/SRR5238700/SRR5238700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/000/SRR5238700/SRR5238700_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/000/SRR5238700/SRR5238700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/000/SRR5238700/SRR5238700_2.fastq.gz	EH_26Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238703	SAMN06312411	SRS1964541	SRX2545665	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	SR_20Sep16	PAIRED	AMPLICON	METAGENOMIC	PCR	161475	97207950	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	SR_20Sep16	12c331eb144c5658aab09e8363d8d48b;60e046ca41210fb73c2c13b698dc5f44	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238703/SRR5238703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238703/SRR5238703_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238703/SRR5238703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238703/SRR5238703_2.fastq.gz	SR_20Sep16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238704	SAMN06312410	SRS1964542	SRX2545666	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	SR_16Sep16	PAIRED	AMPLICON	METAGENOMIC	PCR	180884	108892168	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	SR_16Sep16	20714e8f0e043cd3a4832301f380c22c;13199c19bfec95d8b406c544a5167964	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238704/SRR5238704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238704/SRR5238704_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238704/SRR5238704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/004/SRR5238704/SRR5238704_2.fastq.gz	SR_16Sep16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238706	SAMN06312408	SRS1964544	SRX2545668	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	KC_28Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	194547	117117294	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	KC_28Oct16	7ab8ee6bab829c71eb50c79dbd1f84c7;84d4607b52d2af19b611f772f5251060	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238706/SRR5238706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238706/SRR5238706_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238706/SRR5238706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238706/SRR5238706_2.fastq.gz	KC_28Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238708	SAMN06312406	SRS1964546	SRX2545670	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	KC_05Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	112430	67682860	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	KC_05Oct16	3da1685fded3759e8257c18e46e7144c;456a617ffefad6fa47f1c97cf8441029	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238708/SRR5238708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238708/SRR5238708_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238708/SRR5238708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238708/SRR5238708_2.fastq.gz	KC_05Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238711	SAMN06312403	SRS1964549	SRX2545673	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	JP_28Sep16	PAIRED	AMPLICON	METAGENOMIC	PCR	166279	100099958	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	JP_28Sep16	95961cbe9ef92e7cf46e8e2a262f1be1;912521bc0bfe0a8a3f4a1b00a347d8e2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238711/SRR5238711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238711/SRR5238711_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238711/SRR5238711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/001/SRR5238711/SRR5238711_2.fastq.gz	JP_28Sep16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238713	SAMN06312401	SRS1964551	SRX2545675	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	JP_18Sep16	PAIRED	AMPLICON	METAGENOMIC	PCR	124571	74991742	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	JP_18Sep16	5d7620cc9b681ec933360aca0346e534;36180211ad36e8dc52391c313627c688	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238713/SRR5238713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238713/SRR5238713_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238713/SRR5238713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/003/SRR5238713/SRR5238713_2.fastq.gz	JP_18Sep16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238716	SAMN06312398	SRS1964554	SRX2545678	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	BC_16Oct16	PAIRED	AMPLICON	METAGENOMIC	PCR	127797	76933794	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	BC_16Oct16	66cf517463d659aaff57e94d048a68e4;5e0d1a3621e5941ebf86f48c02fc11d1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238716/SRR5238716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238716/SRR5238716_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238716/SRR5238716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/006/SRR5238716/SRR5238716_2.fastq.gz	BC_16Oct16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5238718	SAMN06312396	SRS1964556	SRX2545680	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	BC_23Sep16	PAIRED	AMPLICON	METAGENOMIC	PCR	164881	99258362	2017-02-15	2017-02-15	Illumina MiSeq sequencing: Characterization of the bacterial community from capsule FMT patients	Capsule Patients	PRJNA311224	BC_23Sep16	f0057d9ab9a565317182f0c3a239b786;c6d752f9c225aef4c3f428f2b078563a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238718/SRR5238718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238718/SRR5238718_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238718/SRR5238718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR523/008/SRR5238718/SRR5238718_2.fastq.gz	BC_23Sep16		Metagenome or environmental sample from gut metagenome	2017-02-15
SRR5275164	SAMN06350894	SRS1994229	SRX2579115	PRJNA311224	749906	gut metagenome	ILLUMINA	Illumina MiSeq	SM_08Aug15	PAIRED	AMPLICON	METAGENOMIC	PCR	230819	138953038	2017-02-28	2017-02-28	Illumina MiSeq sequencing: Characterization of gut microbiota in capsule FMT patients and donors	Capsule Patients	PRJNA311224	SM_08Aug15	806673880db02ccd56f67020556815b7;d508a76a7e575361c653fe6319f5f55e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5275164/SRR5275164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5275164/SRR5275164_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5275164/SRR5275164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5275164/SRR5275164_2.fastq.gz	SM_08Aug15		Metagenome or environmental sample from gut metagenome	2017-02-28
